FirstAuthor,Year,Journal,doi,ColourMap
Costa,2000,Medical engineering & physics,10.1016/s1350-4533(00)00051-5,NA
Herrmann,2000,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/s0167-8760(00)00170-7,greyscale
Halboni,2000,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(00)00473-9,greyscale
Gonzalez Andino,2000,Human brain mapping, ,greyscale
Lachaux,2000,The European journal of neuroscience,10.1046/j.1460-9568.2000.00163.x,NOACCESS
Bianchi,2000,Methods of information in medicine, ,greyscale
Liu,2000,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,NA
Yordanova,2000,Neuroreport,10.1097/00001756-200004070-00038,greyscale
Lambertz,2000,Journal of the autonomic nervous system,10.1016/s0165-1838(99)00072-7,greyscale
Slobounov,2000,Brain research. Cognitive brain research,10.1016/s0926-6410(99)00055-5,jet-like
Sannita,2000,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(99)00271-0,greyscale
Zygierewicz,2000,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(99)00175-3,greyscale
Hu,2001,Computers in biology and medicine,10.1016/s0010-4825(01)00026-9,RdYlBu
Neuper,2001,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00661-7,greyscale
Boashash,2001,IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society,10.1109/51.956820,hot
Durka,2001,IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society,10.1109/51.956819,Reds
Celka,2001,IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society,10.1109/51.956817,greyscale
Zhang,2001,Computers in biology and medicine,10.1016/s0010-4825(01)00019-1,greyscale
Herrmann,2001,Computers in biology and medicine,10.1016/s0010-4825(01)00017-8,NA
Turnbull,2001,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00641-1,greyscale
Blinowska,2001,Acta neurobiologiae experimentalis, ,greyscale
Ginter,2001,Journal of neuroscience methods,10.1016/s0165-0270(01)00424-1,NA
Quian Quiroga,2001,Brain research. Brain research protocols,10.1016/s1385-299x(01)00077-0,RdPuBuGn
Haueisen,2001,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00504-1,jet
Gurtubay,2001,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00557-0,greyscale
Demiralp,2001,Clinical EEG (electroencephalography),10.1177/155005940103200307,greyscale
Gonzalez Andino,2001,Human brain mapping,10.1002/hbm.1043,RdBu
Koenig,2001,NeuroImage,10.1006/nimg.2001.0825,hot
Durka,2001,Medical & biological engineering & computing,10.1007/BF02345286,NA
Chai,2001,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,NA
Senhadji,2001,Acta biotheoretica,10.1023/a:1010233615281,greyscale
Bergey,2001,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(00)00543-5,jet
Chen,2001,Neuroscience letters,10.1016/s0304-3940(00)01696-7,NA
Alegre,2002,Experimental brain research,10.1007/s00221-002-1255-x,jet
Quiroga,2002,Electromyography and clinical neurophysiology, ,NA
Shao,2002,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,greyscale
Cranstoun,2002,IEEE transactions on bio-medical engineering,10.1109/TBME.2002.802015,hot
Lahtinen,2002,Journal of neurophysiology,10.1152/jn.2002.88.3.1469,greyscale
Bartolomei,2002,Epilepsia,10.1046/j.1528-1157.2002.48501.x,greyscale
Senhadji,2002,Neurophysiologie clinique = Clinical neurophysiology,10.1016/s0987-7053(02)00304-0,jet
Jensen,2002,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/12.8.877,NA
Durka,2002,Journal of neuroscience methods,10.1016/s0165-0270(02)00075-4,greyscale
Yu,2002,Zhongguo yi liao qi xie za zhi = Chinese journal of medical instrumentation, ,greyscale
Celka,2002,IEEE transactions on bio-medical engineering,10.1109/TBME.2002.1001970,jet-like
Jensen,2002,The European journal of neuroscience,10.1046/j.1460-9568.2002.01975.x,greyscale
Slobounov,2002,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00737-4,jet-like
Jensen,2002,NeuroImage,10.1006/nimg.2001.1013,jet-like
Rols,2002,Visual neuroscience,10.1017/s0952523801184038,jet-like
Graimann,2002,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(01)00697-6,NA
